,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,59.7072399119925,50.0600674424622,35.0077935735562,37.9174958508684,371.125336577481,44.1897840942938,39.3962422444993,371.80892373807,39.5835165030576,40.3304068954876,41.3737170724307,386.175016155174,39.4549153554744,37.1058448140493,46.6016529205208,354.539930545466,40.502817053235,309.047266035179,39.3920051432233,389.831944737403,58.4037346834175,36.1416394085127,41.4959589700356,45.3551270771577,42.3686625579485,48.5180649672557,362.412351020597,26.7620288655644,41.3274967702846,333.309627556019,355.951004152279,343.059594649174,35.9160452983242,44.9623193837115,387.141376319241,41.4787884995603,40.3488821669662,28.2471132412638,393.70561725007,49.9653120762559,60.0864265760574,342.698681548417,27.7046003998876,52.4910005635484,48.2926073362796,47.1703115339069,47.5743389469626,43.4141145396097,47.3155619757954,43.1812461780237,59.5672528721352,58.5364443966491,341.778727241828,41.4715918403745,55.5859356406409,50.6354854446154,41.5442700731428,42.4171788797994,64.5926590022837,42.6016924458554,368.385352684893,64.4265038877766,38.4522782136573,337.817510807159,46.8410170885381,38.3467924976439,43.1114215495672,41.5000633632371,47.1438512819122,44.8283651245656,44.1159349178688,40.425079709461,58.6083022087087,38.9036138474585,51.2767869671125,45.450463629867,50.3271040739673,57.1433760640421,63.1967133769422,44.1837589292199,40.7317314348975,45.0768609118859,313.703377098341,48.4254366535388,47.9259671832833,366.97756664898,64.4198012933375,47.0507054567142,58.8642066664033,355.564375709517,41.0361733823474,52.4069288452129,39.1411991789846,47.4401478595883,368.109513136921,392.196769629132
,2,68.2060956948617,55.1635977705309,37.3259538142884,26.1925541858391,486.301454673401,50.2853040788086,44.9816344746541,487.283337187162,42.8745289691069,46.0214850975808,47.2152557253703,506.251916125706,42.6718308480549,40.1059587493874,53.1921381601633,463.189290281638,45.4126225711661,402.02953928854,42.35068008095,511.242695189246,69.9449491840669,39.1627119035265,44.8868216168457,49.9669665914043,32.3193141034417,54.462835492689,473.81980738629,18.7036131558725,47.1786143282407,434.669038541301,465.425431154993,448.20535598177,39.0963756187521,49.4127325908166,507.432698585966,44.7541365141433,45.4643639762689,19.6269830832607,516.393353083082,55.0604749670729,67.9339062417057,447.19899164219,19.30074174118,59.3169645182561,55.1269778026854,53.2689975532476,56.8916798363134,31.3234843643113,52.1371039165406,31.1567378831032,71.341424205063,70.103699053936,446.265114399205,45.4780915611664,66.4399453461601,57.3875306716554,45.7647694100606,48.4271797867823,73.6189611940808,46.1375932764695,481.931186175877,73.5941222453075,26.6461719625649,440.659908424579,53.4790199629306,43.6128795994055,47.4955209659011,45.0895437372465,53.8112874545941,48.4991286900986,48.4236930577126,46.129528547317,66.8263075260857,42.1201201288823,56.5075854143624,50.0792015395709,55.4602223234579,65.2522945078445,72.0693715988946,48.6816145235671,46.4807792508955,48.7595281967724,408.221779661146,54.4785585758927,36.4775431186763,480.116292078369,73.586707808211,51.7071835294028,66.7336746005731,465.523313197582,44.5658150135951,59.5025871934813,43.5238371599344,52.1430256469266,481.936767195067,514.29402313743
,3,80.3170151554077,62.4471782154042,40.8517095718971,15.5496122952209,644.824627772106,59.0138560319438,52.9431778617418,646.182633367296,47.6992414604292,54.1406078640239,55.5483370719539,671.433078663946,47.4020953729423,44.5238454300124,62.5918938027216,613.242585963198,52.5964141594368,531.090373486032,46.754256192482,678.184025137583,86.3771108933461,43.5841502053436,49.8698778953831,56.551891346161,21.8511886614642,63.1472918069121,627.550956493861,11.0395898515508,55.5212654754951,574.948762484139,616.469647212917,593.415714869318,43.7152593665032,55.7866087263992,672.940574488111,49.5911502259041,52.8887322842002,11.6059322073115,685.065937677598,62.3286603244032,79.2749229105966,591.715905017498,11.418070340198,69.1831879956435,64.8722289797543,62.0930874928126,70.1810249241889,19.6873375154528,59.0174988859235,19.5825838917963,88.1075942708349,86.5734527892728,590.663859467107,51.2323523816685,81.9342109457994,67.10838382563,51.7877420621835,56.9965923533991,86.5167700042557,51.3188128222318,638.502312259253,86.6555518801406,15.7677347063191,582.948991161387,62.9441572240548,51.159646468147,53.7531297191681,50.3220046116257,63.3213335584969,53.8932725285395,54.6029526560142,54.2651486889226,78.5633621220368,46.8396630584884,63.9696854050499,56.6847880841187,62.7835926777389,76.81221887425,84.7383566003737,55.1019186201429,54.6821873715198,54.1762403540361,539.363209047129,63.2895586612094,24.6173750864282,636.114404706877,86.649470569786,58.3772274121711,78.0584466010287,617.009269577732,49.7135732000925,69.6914572695132,50.0311384462948,58.8766881909078,638.756330247328,682.199215748566
,4,97.5501387474224,72.8312643859226,46.2966985343137,6.58965809621532,859.766170362837,71.5163319432841,64.2808362270789,861.576844489724,54.8289509109782,65.7149406607114,67.4248976363606,895.244104885264,54.4119514331214,51.0846241147792,75.9842575339508,817.656781284249,63.1806676774577,708.120497981378,53.382243829682,904.24536685011,109.737781872883,50.1058026189066,57.255637872333,65.942926505043,11.1031937145553,75.9120398682262,836.734608658467,4.18468590423436,67.405910113016,766.59834997886,821.959529617217,791.220953159093,50.4563329684561,64.9183343271161,897.254099317473,56.8006112783287,63.7164309600976,4.63274775587524,913.421250236807,72.6927175699357,95.7148518744007,788.954540023359,4.48706093862802,83.4951156371853,78.7564877041914,74.9078233657037,89.1210453421763,8.92601148394988,68.8308147760326,8.87778917266041,111.939871318779,109.988266223545,787.551812622815,59.5115131719695,104.032727560433,81.1333663799605,60.3818602205538,69.20116238027,104.94486753037,58.9697874411986,851.336416345673,105.247336541569,6.43275591781912,777.265321548496,76.425743044585,61.9769935478107,62.6788070023122,57.9951714724657,76.8726889849968,61.8849963940793,63.4786044294424,65.8642736572929,95.3168339001732,53.8217161168723,74.6097826140394,66.1059303637712,73.2270911477199,93.2740641452192,102.818580713015,64.2579009023366,66.3731403890788,62.2057382922112,719.150945396155,76.1839426507941,12.5153678759152,848.152539609177,105.239271882781,67.932811522649,94.3915011834997,822.679026103633,57.2679059664979,84.3435443018279,59.791933257331,68.5213348907382,851.675106996438,909.598954331422
,5,122.029823651163,87.6252470632135,54.8242233551027,0.285419084870227,1145.36929762189,89.4287269909337,80.4059555468593,1147.67891690251,65.4431386399283,82.1949281042007,84.3347440088501,1192.34335476047,64.8940819107429,60.9137719894115,95.0437715273947,1090.98812086421,78.8908492562632,947.049603385211,63.4753916512636,1204.09388822379,142.87551162526,59.8033849997464,68.2928951174299,79.3288880649843,0.530476998523227,94.8009020344716,1116.00794972398,-1.06166759401003,84.3137969132031,1023.85560585139,1096.23546491707,1055.69527436665,60.3552960359002,78.0075157144956,1195.12807936087,67.6574667851683,79.5943597222495,-0.499626295363669,1216.22108393519,87.4596928740866,119.62040735653,1053.34867030334,-0.705771209567502,104.333736220253,98.5123158916012,93.5962047955336,116.077643962312,-0.175420745861629,82.810748279323,-0.179811062752378,145.738606242913,143.200487149685,1051.13865652636,71.4430668566038,135.514440836208,101.415351891202,72.6342946975037,86.5596372773834,131.253989189546,70.3641001886026,1135.10762900017,131.657419594892,-0.304949161327386,1037.95979666718,95.5975884310101,77.4960567031649,75.4020360361892,69.3201910362059,96.1543892187401,73.8265135881375,76.2380981132355,82.3817594222219,119.214806309988,64.2310475753466,89.7662387148966,79.5287808208768,88.1040929725614,116.675279408749,128.600533586119,77.3052291191034,83.0185129488364,74.2079772218658,961.623063799377,95.1615680660689,0.689271140562596,1130.81902712651,131.648530584097,81.6321148830511,117.995659749537,1096.44574130182,68.4314437346311,105.444279435522,74.5947020989015,82.3431604831549,1135.0988361257,1211.28317400695
,6,156.714869674203,108.671901176168,68.3343600283361,-1.79282926992528,1514.82697766307,115.088960557473,103.294980753054,1517.60168969864,81.3662769323155,105.624041294614,108.370744417091,1576.16952020833,80.6978836612452,75.7588131362418,122.115687320597,1447.50149215909,102.365963798235,1262.56049746345,79.0078124391484,1591.06866066328,189.727655742763,74.3432455927377,84.9244191170246,98.3846489264079,-8.80784345285247,122.921740356286,1479.52353490845,-3.22416004072238,108.323093142975,1361.12512220979,1453.13978122893,1400.62892062839,74.9779652657153,96.7778118581173,1580.1420231623,84.1647595428558,103.004183074856,-2.41393563758447,1606.8575263632,108.465831711259,154.469264997927,1399.34303437932,-2.7476689617215,134.793576813645,126.566040529294,120.968341259428,154.36510822512,-6.21327121873492,102.699821173102,-6.18972610909168,193.517754650503,190.158865249545,1395.4916697661,88.6625094851388,180.264176834663,130.803363826124,90.0833639683324,111.2031217965,168.761310400163,87.479426996214,1503.83188463045,169.082304243924,-2.68252948328791,1379.4796645923,122.808321821352,99.7637440835151,93.5145958489366,86.1436377256368,123.540125581212,91.8058295090514,94.6004399676303,105.86625234357,153.254728966713,79.864644394379,111.326736512325,98.6309825083681,109.263542177043,149.869399289723,165.303882129539,95.8738954156997,106.680904979111,92.2846232821721,1281.50359545759,123.236127363891,-9.67381367112648,1498.02600778082,169.069942829818,101.276439596967,152.153121309275,1451.40910566193,85.0435992176153,135.870869777635,97.259303976738,102.154545578446,1502.59688419581,1600.73835965135
,7,205.686566159457,138.55247248553,89.8678464035183,2.87079292884209,1976.51751108135,151.809174402071,135.703821976897,1979.58711423904,105.372625048128,138.854866632832,142.454202444854,2054.99847009949,104.675414668104,98.3037023167217,160.46993574347,1897.71062202802,137.602580079469,1667.38949086914,103.081765887858,2073.18796385769,255.675717724475,96.2909317522362,110.130066591852,125.465876379999,-14.804224839284,164.948333097437,1937.38086026581,0.291072717518546,142.327836588953,1789.84009566794,1902.5003675771,1836.19216046807,96.694267431486,123.693655107662,2060.75224521643,109.439842075104,137.671097118618,1.19908761117949,2093.30933227607,138.289354687094,205.302009315724,1838.1224864393,0.80984440798602,179.429520891569,166.294833483026,161.178159495601,208.577758705618,-6.76818044604443,130.943465387833,-6.74407366455762,260.746524609745,256.255002220675,1831.24868326832,113.53342825518,243.653203083074,173.426419874118,114.893052972525,146.096376551273,222.096287131469,113.363023167972,1967.20131812208,221.923609784852,2.18233575734757,1813.1824143514,161.321343024602,131.701679016687,119.256186271436,111.254965567778,162.333072914742,119.018722968776,121.032567400235,139.18087161025,201.625575170745,103.462016435946,141.93212138144,125.765447959076,139.301288697612,196.801557386756,217.416991495895,122.25213771863,140.241084436941,119.639642111376,1691.4311609873,164.907692443136,-16.2461010463721,1959.33948514422,221.906629406094,129.4364150725,201.589051114078,1896.29960607993,109.896288747886,179.750986522607,132.176201617167,130.549035844612,1963.20282846318,2086.12809494982
,8,274.492245238574,180.856410827281,124.112715927617,18.1965810665888,2554.39635906731,204.232510280432,181.437272371824,2557.16833381411,141.605894868923,185.838297742308,190.625509269747,2652.40369169296,141.118969553266,132.574405604934,214.607562989219,2471.54958399238,190.507972550326,2198.36518967208,140.439744099862,2673.32902663437,347.90978933149,129.53042537381,148.386043912089,163.860600359761,-13.7197246581363,227.724830217289,2518.31539859145,13.8082562529426,190.325754939923,2342.69578326866,2472.31341440931,2391.41142243751,129.037996766353,162.248682871485,2661.05198099665,148.230401752808,189.085454463867,14.0489901625506,2698.36004252826,180.514017289283,279.255041626735,2401.62635002787,14.0327798090093,244.838367402798,222.341898322538,220.270259710689,284.980447561376,2.10355909838017,170.941376454562,2.08347478016731,354.730242596162,348.695376776435,2388.75657201168,149.42964971399,332.942347548042,235.163162512199,150.09167025155,195.324351483269,297.593452073381,152.638027469475,2552.78444812494,296.148687362734,18.7935028669917,2371.49269780793,215.620098412515,177.431669536319,155.752945227468,148.796742020137,217.076741834222,160.237864913303,159.045029169996,186.291261237537,270.095032154628,139.107494264797,185.255256143939,164.206928820896,181.815755512237,262.858247609398,291.095178913245,159.62995045485,187.685964943211,161.048959050317,2227.91059289903,226.726382315716,-14.9191625972817,2541.86081812808,296.123503897629,169.749437711339,272.953584272303,2456.04894583787,147.167968939531,242.937098604033,185.97586681644,171.190404309552,2542.64450698071,2690.7711962997
,9,370.515366206889,240.509069259566,177.975368508114,50.0654932323168,3172.70543894215,278.717675517409,245.684619626924,3174.68378763414,196.032574796339,251.965130942585,258.38917207824,3290.19059359863,196.274631850615,184.38937199394,290.626228759306,3092.29090811491,269.46728907339,2783.28155111398,198.044388672773,3313.15839334191,475.765073030165,179.765398546388,206.170877518109,218.107602265462,0.443176625628439,320.856856776272,3144.9909223073,44.0662203123547,257.748801935587,2945.12028154422,3086.8179404164,2992.1733920624,177.161495093878,217.332730385902,3302.38948471762,207.487745669793,265.090207633741,41.7495643361135,3343.12211609801,240.056478461751,386.037318590171,3014.08015380152,43.2797874563266,340.247620871344,300.979375089873,306.763907981445,391.905900022248,26.4332256725511,227.364376905459,26.3002143540516,484.932268931577,476.837525239118,2993.31021938131,201.088362901922,457.645318378138,324.138604652135,199.872092581543,264.44355662323,403.701188123009,212.072170656121,3182.89136833155,399.668736113207,53.8084897293948,2979.16610057717,291.770275122678,242.655812739882,207.324153382019,204.731840932836,293.920940689515,222.321091620927,213.545702767335,252.61406979001,366.419347048269,192.671459179356,246.325522164111,218.467221225796,241.746413735383,355.239856139195,394.558235758887,212.399960161872,254.449398674083,223.345693494394,2818.08037065367,317.858877091197,0.855807624371664,3168.23138826901,399.629850461992,227.271627026684,375.296827583537,3056.91325993211,202.921106495448,333.481667443711,268.215032897186,229.196268237475,3164.47302344478,3335.7194601687
,10,503.288785344063,324.153483337791,260.999643610719,106.82999853104,3833.08365869412,383.725653245705,335.397650496726,3833.43882659424,276.863234949747,344.44084677391,353.087607057157,3969.01282862951,278.789345481965,261.787420436175,396.585128841361,3765.36920899268,385.732417883084,3434.04918107001,285.539655787074,3992.83658872909,650.833488760764,255.00614742315,292.408244286557,294.372388976972,36.4293417759063,457.01483405357,3821.89156018825,100.79754098598,351.84449262136,3605.091838846,3750.38141954651,3644.03659054936,248.290660872779,295.629316984675,3985.70475138492,296.859156177595,376.363507660236,92.2714472439529,4027.5956522637,323.546845045737,538.118774403209,3682.64350904745,97.8315272949394,477.903082987232,410.475891094159,432.066711813916,540.017704531162,74.8040484808389,306.523180469568,74.4502908471404,663.060933871272,652.290821858373,3651.19815220896,274.989248426318,629.636337649102,451.086480891504,269.960209111121,360.848882785103,551.213298033444,301.109840005341,3861.05869095578,542.611788842367,116.444272386653,3643.78272326582,397.793211344317,335.052963641187,279.841145092735,287.280240977108,400.990631781686,314.634317186881,291.219739035055,345.398311673037,500.66424914431,272.222256560996,331.922028629861,294.654831000838,325.741769317668,483.291182002657,538.378289008149,286.521845143629,347.793933141211,315.835077873365,3473.45832500973,450.40258068364,40.5738593502228,3841.53895775312,542.5441086065,308.876483126512,520.31567538033,3701.69113302235,285.574069791144,462.018904423678,391.772196611488,311.531705913717,3831.30217422468,4021.3634422655
,11,684.555403121125,440.507746742219,385.489080019983,199.596622995188,4497.88339191838,530.036140085474,459.631949080977,4495.66146035579,394.782394571967,472.611452152628,484.214918824197,4649.38334780255,399.939301541374,375.263785719365,542.777918263109,4453.20501271021,553.329656338735,4117.52671278861,415.399181005428,4672.70251060675,886.546986597728,365.878222916676,418.664035209271,400.85182045677,105.865831917899,651.566159591194,4510.95315086222,196.909601373153,481.999048246048,4286.85614723479,4425.85352532048,4311.14181699926,352.072788978145,405.993309663291,4671.35877952215,428.857399955709,536.479456678817,176.152660032806,4711.80622562522,439.691844531697,750.287196224716,4370.73744557897,190.172454188842,672.836643432106,561.328048436146,610.410379281122,742.207182646714,158.538134419294,416.730611691707,157.80569537257,902.614400779133,888.513243806289,4326.28447685059,379.709588276201,862.704018237043,629.310602619452,368.012481416497,494.097310120093,753.124223495705,432.095843406579,4548.73759176748,737.28822555289,218.58705275837,4329.06324273166,543.929410365557,464.576493518024,381.121388347183,407.171297856909,548.629905090856,449.177464213949,400.873518344602,474.0539194122,685.218368272947,388.249164201395,450.922078819633,400.848517890843,442.514596463415,658.603861761909,735.386304432368,389.885536917013,477.13115727044,450.420707107784,4160.47316751232,639.120914775913,116.764701829281,4523.03527465155,737.170205037187,423.592920947508,722.074918402604,4354.17921632745,406.186763679994,641.737244352515,572.552594964188,427.381099522026,4505.16873074212,4707.83763943335
,12,927.790155132093,600.581950120196,566.077556419399,342.069435003314,5128.20133721967,730.581748484674,629.707341221721,5122.44920157618,562.826579180158,648.072854456871,663.488866353351,5290.76307199709,573.405313357815,537.70001311565,741.657440445075,5114.27259388724,788.124714621226,4792.90432195521,602.479560671291,5312.35625936957,1196.81409842521,525.54004131921,598.85407140274,548.057494118293,222.930859488971,921.107603494886,5170.80061811287,348.0232372772,659.836195523727,4949.22988327785,5073.00837383881,4954.02381740768,500.644329494139,559.637743960359,5318.4813616535,618.41117635195,761.165959079525,306.369227852067,5355.10077452763,599.482313983202,1038.14841621424,5036.8302271186,335.644478537096,941.536944410197,766.146295717709,857.827142919873,1012.71210473492,291.451038922027,568.538701478304,290.117095303179,1217.44909096944,1199.43154306273,4978.1897522802,526.125628765056,1171.10433910771,873.872217283467,503.954102233633,675.987115280053,1023.71320026929,619.897296441019,5204.58329674909,997.505354401337,374.425745235085,4993.46444268488,742.60600363602,643.465170782716,521.225967709514,577.511510409418,749.328651335702,640.208785219208,553.594351064121,650.272239977442,934.162829025787,553.556458153238,614.498549932767,547.355757303681,603.044354362648,894.598162808398,999.848470875121,532.587747154891,654.112529829107,641.238217444374,4838.14658053474,900.163230736131,244.527807210492,5171.27346618424,997.298730358317,582.762540729151,995.787563519588,4976.407542424,578.303116822808,887.586503272084,828.02173749876,588.287705682937,5146.07709994887,5354.41469483476
,13,1246.70921997601,817.457363881265,818.537815196227,549.708119781692,5692.10915317115,999.544538041439,858.877112877722,5682.03716049083,795.671130009193,884.236486094035,904.372405930105,5860.09597575636,814.357987942702,763.741620735036,1007.07612744686,5711.94468649094,1105.72881514656,5420.28246378674,862.708992060307,5879.12135517722,1593.26534183727,748.953875879582,848.246366830676,748.779976813165,403.520972370701,1280.57090265116,5765.54732722201,571.163007588293,898.784599021882,5554.41367758163,5657.15008594091,5538.09268752697,708.165163783765,769.897691836376,5893.54196457324,881.517220871043,1066.36965977074,497.718743645221,5924.62651387947,815.983202406564,1415.23119963893,5643.28736753915,551.240886668666,1299.09678980415,1038.79011133668,1189.80294287478,1365.00507691982,489.04913186011,774.603608779822,486.814188359,1618.93186474041,1596.67872313062,5570.95280642877,727.263076792294,1566.72887869693,1199.61020209758,690.051688461363,920.06967660053,1376.41587617405,880.584411623257,5793.22301406537,1336.74631520345,599.45738673608,5599.06181888529,1007.69488828004,885.670977725059,712.471648703513,813.032055098272,1016.92054358139,903.062035501772,762.499274047634,887.596626892099,1261.54277343154,782.61158417509,835.865280353421,746.645048729073,820.338243705077,1205.14434560639,1345.45816631344,726.897434532428,892.186690528973,903.514702379375,5466.67496521186,1248.4534081428,440.464572625243,5750.99569961217,1336.39174037431,799.736588761203,1355.29689261188,5536.79868616577,817.087181839755,1214.27970313041,1174.25550901736,807.839631111968,5720.49723454737,5927.98775094622
